index,bucket_label,min_ppm,max_ppm,weight,share
0,0 - 4,0.0,4.0,1118.0,0.16975402368660797
1,4 - 7,4.0,7.0,19.0,0.002884907379289402
2,7 - 10,7.0,10.0,6.0,0.0009110233829334953
3,10 - 40,10.0,40.0,240.0,0.036440935317339815
4,40 - 70,40.0,70.0,134.0,0.02034618888551473
5,70 - 100,70.0,100.0,110.0,0.016702095353780748
6,100 - 200,100.0,200.0,399.0,0.06058305496507744
7,200 - 300,200.0,300.0,142.0,0.021560886729426056
8,300 - 400,300.0,400.0,117.0,0.017764955967203157
9,400 - 500,400.0,500.0,1571.0,0.23853628909808686
10,500 - 600,500.0,600.0,656.0,0.09960522320072882
11,600 - 700,600.0,700.0,53.0,0.008047373215912541
12,700 - 800,700.0,800.0,216.0,0.03279684178560583
13,800 - 900,800.0,900.0,45.0,0.006832675372001214
14,900 - 1000,900.0,1000.0,554.0,0.0841178256908594
15,1000 - 2000,1000.0,2000.0,646.0,0.09808685089583966
16,2000 - 3000,2000.0,3000.0,351.0,0.05329486790160948
17,3000 - 4000,3000.0,4000.0,126.0,0.019131491041603402
18,4000 - 5000,4000.0,5000.0,23.0,0.0034922563012450654
19,5000 - 6000,5000.0,6000.0,23.0,0.0034922563012450654
20,6000 - 7000,6000.0,7000.0,17.0,0.00258123291831157
21,7000 - 8000,7000.0,8000.0,1.0,0.0001518372304889159
22,8000 - 9000,8000.0,9000.0,2.0,0.0003036744609778318
23,9000 - 10000,9000.0,10000.0,0.0,0.0
24,10000 - Infinity,10000.0,inf,17.0,0.00258123291831157
